ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),YYYY-MO-DD HH-MI-SS_SSS
10.8921,-8.9125,-0.463,3.9833,-8.1081,-3.816,3.413,1.3008,-0.5079,0.0492,-1.0441,-0.5537,2.1208,12.53,41.33,4.87,24.26,55.77,-133.77,2021-03-19 12:20:32:875
8.2933,-10.6997,-10.7241,2.4617,-6.1042,-7.2698,0.4354,-1.6743,0.5816,-0.5781,0.6059,0.4438,2.1208,3.26,37.02,1.01,6.23,38.5,-161.29,2021-03-19 12:20:33:375
1.5695,-5.9965,-4.1128,1.9856,-8.226,-4.9558,-4.4622,-0.0024,-1.0227,0.821,-0.7844,-1.222,2.1208,10.5,34.95,3.88,29.47,57.02,-158.17,2021-03-19 12:20:33:874
4.331,-11.9279,-5.6511,1.402,-5.701,-7.8551,2.7903,-2.6232,2.0103,-0.82,-0.0868,0.8919,2.1208,2.78,34.51,0.66,6.58,38.3,-164.36,2021-03-19 12:20:34:374
-2.0157,-4.7252,-7.9614,1.9905,-6.3232,-7.2267,1.7414,0.748,-0.3258,0.2658,0.068,-0.0461,2.1208,10.79,35.53,10.16,29.77,40.15,-164.6,2021-03-19 12:20:34:874
0.1593,-4.3182,-7.4897,1.3205,-5.911,-7.7127,0.3802,-0.7588,2.1028,-0.0342,0.1444,0.6665,2.1208,20.04,29.45,11.7,50.3,37.07,-170.28,2021-03-19 12:20:35:374
5.3449,-4.1602,-4.4827,3.208,-5.2629,-7.6276,3.4919,-2.1446,0.1099,-0.3668,1.5329,0.0666,2.1208,22.79,20.55,16.1,67,35.95,-166.18,2021-03-19 12:20:35:874
3.3147,-3.5952,-12.6849,3.6129,-5.265,-7.4429,2.2146,0.4167,1.1718,-0.7394,-0.205,-0.0687,0,16.96,12.71,24.89,83.73,32.47,-154.11,2021-03-19 12:20:36:375
0.8883,-6.2502,-4.6779,4.224,-6.9107,-5.5291,-0.0306,1.7401,-3.775,0.3806,1.0918,-0.3381,0,13.89,11.57,32.88,97.27,44.8,-142.62,2021-03-19 12:20:36:875
10.8861,-10.987,1.068,4.1794,-8.3428,-3.0167,3.1918,0.0567,-1.4282,-0.142,0.2543,0.0825,0,10.89,26.22,27.72,75.91,58.29,-125.82,2021-03-19 12:20:37:374
